UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58655520,58655520,ALGEMEEN,KEOLIS
58420010,58420010,ALGEMEEN,KEOLIS
58420100,58420100,ALGEMEEN,KEOLIS
58420120,58420120,ALGEMEEN,KEOLIS
58420130,58420130,ALGEMEEN,KEOLIS
58420180,58420180,ALGEMEEN,KEOLIS
58420220,58420220,ALGEMEEN,KEOLIS
58420230,58420230,ALGEMEEN,KEOLIS
58650110,58650110,ALGEMEEN,KEOLIS
58650150,58650150,ALGEMEEN,KEOLIS
58650250,58650250,ALGEMEEN,KEOLIS
58650350,58650350,ALGEMEEN,KEOLIS
58650430,58650430,ALGEMEEN,KEOLIS
58650670,58650670,ALGEMEEN,KEOLIS
58650690,58650690,ALGEMEEN,KEOLIS
58651050,58651050,ALGEMEEN,KEOLIS
58651070,58651070,ALGEMEEN,KEOLIS
58655510,58655510,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650010,58650010,ALGEMEEN,KEOLIS
58650330,58650330,ALGEMEEN,KEOLIS
58650370,58650370,ALGEMEEN,KEOLIS
58650430,58650430,ALGEMEEN,KEOLIS
58650500,58650500,ALGEMEEN,KEOLIS
58650540,58650540,ALGEMEEN,KEOLIS
58650550,58650550,ALGEMEEN,KEOLIS
58650570,58650570,ALGEMEEN,KEOLIS
58650590,58650590,ALGEMEEN,KEOLIS
58650610,58650610,ALGEMEEN,KEOLIS
58650650,58650650,ALGEMEEN,KEOLIS
58650741,58650741,ALGEMEEN,KEOLIS
58650770,58650770,ALGEMEEN,KEOLIS
58650870,58650870,ALGEMEEN,KEOLIS
58650880,58650880,ALGEMEEN,KEOLIS
58655040,58655040,ALGEMEEN,KEOLIS
58650020,58650020,ALGEMEEN,KEOLIS
58650340,58650340,ALGEMEEN,KEOLIS
58650380,58650380,ALGEMEEN,KEOLIS
58650440,58650440,ALGEMEEN,KEOLIS
58650510,58650510,ALGEMEEN,KEOLIS
58650520,58650520,ALGEMEEN,KEOLIS
58650530,58650530,ALGEMEEN,KEOLIS
58650580,58650580,ALGEMEEN,KEOLIS
58650600,58650600,ALGEMEEN,KEOLIS
58650620,58650620,ALGEMEEN,KEOLIS
58650640,58650640,ALGEMEEN,KEOLIS
58650710,58650710,ALGEMEEN,KEOLIS
58650780,58650780,ALGEMEEN,KEOLIS
58650860,58650860,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58650010,58650010,ALGEMEEN,KEOLIS
58650330,58650330,ALGEMEEN,KEOLIS
58650370,58650370,ALGEMEEN,KEOLIS
58650430,58650430,ALGEMEEN,KEOLIS
58650500,58650500,ALGEMEEN,KEOLIS
58650540,58650540,ALGEMEEN,KEOLIS
58650550,58650550,ALGEMEEN,KEOLIS
58650570,58650570,ALGEMEEN,KEOLIS
58650590,58650590,ALGEMEEN,KEOLIS
58650610,58650610,ALGEMEEN,KEOLIS
58650650,58650650,ALGEMEEN,KEOLIS
58650741,58650741,ALGEMEEN,KEOLIS
58650770,58650770,ALGEMEEN,KEOLIS
58650870,58650870,ALGEMEEN,KEOLIS
58650880,58650880,ALGEMEEN,KEOLIS
58655040,58655040,ALGEMEEN,KEOLIS
58650020,58650020,ALGEMEEN,KEOLIS
58650340,58650340,ALGEMEEN,KEOLIS
58650380,58650380,ALGEMEEN,KEOLIS
58650440,58650440,ALGEMEEN,KEOLIS
58650510,58650510,ALGEMEEN,KEOLIS
58650520,58650520,ALGEMEEN,KEOLIS
