ShowCancelledTrip,Monitored,VejoArrivalTime,MonitoringError,ShowFlexibleTrip,CancelledCall,TimingPointCode,WheelChairAccessible,BlockCode,VejoDepartureTime,DetectedUserStopCode,ExpectedDepartureTime,UserStopOrderNumber,ExtraJourney,JourneyModificationType,ShowCancelledStop,LinePlanningNumber,VehicleJourneyType,TimingPointDataOwnerCode,ExtraCall,UserStopCode,JourneyStopType,TargetDepartureTime,ExpectedArrivalTime,VejoJourneyNumber,IsTimingStop,DataOwnerCode,FortifyOrderNumber,JourneyNumber,JourneyPatternCode,LocalServiceLevelCode,LineDirection,DistanceSinceDetectedUserStop,LineVeTagNumber,LastUpdateTimeStamp,DestinationCode,OperationDate,SideCode,NumberOfCoaches,VehicleNumber,CancelledJourney,TripStopStatus,TargetArrivalTime
TRUE,1,07:20:00,0,FALSE,0,56330620,UNKNOWN,620366,06:10:00,56330620,2021-06-22T06:31:00,8,0,NONE,1,M300,PUJO,ALGEMEEN,0,56330620,INTERMEDIATE,06:31:00,2021-06-22T06:31:00,19,False,CXX,0,19,260029,6830792,1,1153,300,2021-06-22T06:07:58+02:00,M300143411,2021-06-22,-,1,9342,0,DRIVING,06:31:00
TRUE,1,07:20:00,0,FALSE,0,57252670,UNKNOWN,620366,06:10:00,57252670,2021-06-22T07:15:00,21,0,NONE,1,M300,PUJO,ALGEMEEN,0,57252670,INTERMEDIATE,07:15:00,2021-06-22T07:15:00,19,False,CXX,0,19,260029,6830792,1,2762,300,2021-06-22T06:07:58+02:00,M30014341,2021-06-22,-,1,9342,0,DRIVING,07:15:00
TRUE,1,07:20:00,0,FALSE,0,57330221,UNKNOWN,620366,06:10:00,57330221,2021-06-22T06:49:00,16,0,NONE,1,M300,PUJO,ALGEMEEN,0,57330221,INTERMEDIATE,06:49:00,2021-06-22T06:49:00,19,True,CXX,0,19,260029,6830792,1,1130,300,2021-06-22T06:07:58+02:00,M30014341,2021-06-22,B9 - B11,1,9342,0,DRIVING,06:49:00
TRUE,1,07:20:00,0,FALSE,0,57250000,UNKNOWN,620366,06:10:00,57250000,2021-06-22T00:00:00,22,0,NONE,1,M300,PUJO,ALGEMEEN,0,57250000,LAST,00:00:00,2021-06-22T07:20:00,19,True,CXX,0,19,260029,6830792,1,576,300,2021-06-22T06:07:58+02:00,M30014341,2021-06-22,-,1,9342,0,DRIVING,07:20:00
TRUE,104874,1,06:18:00,0,FALSE,0,56320200,UNKNOWN,610501,05:27:00,56320200,2021-06-22T06:07:14,28,0,NONE,1,N073,06:06:56,ALGEMEEN,0,56320200,INTERMEDIATE,06:06:00,2021-06-22T06:07:14,501,PUJO,False,CXX,0,501,296202,6830870,1,292,73,2021-06-22T06:07:58+02:00,N07300587,2021-06-22,-,1,2027,0,PASSED,06:06:00,494603
TRUE,1,06:30:00,0,FALSE,0,60190190,UNKNOWN,1800112,05:46:00,60190190,2021-06-22T06:07:52,18,0,NONE,1,X080,06:07:58,ALGEMEEN,0,60190190,INTERMEDIATE,06:10:00,2021-06-22T06:07:52,2,PUJO,False,CXX,0,2,296252,6830987,2,279,80,2021-06-22T06:07:58+02:00,X08016101,2021-06-22,-,1,5319,0,PASSED,06:10:00
TRUE,1,06:30:00,0,FALSE,0,60290070,UNKNOWN,1800112,05:46:00,60290070,2021-06-22T06:13:10,22,0,NONE,1,X080,PUJO,ALGEMEEN,0,60290070,INTERMEDIATE,06:15:00,2021-06-22T06:13:10,2,False,CXX,0,2,296252,6830987,2,260,80,2021-06-22T06:07:58+02:00,X08016101,2021-06-22,-,1,5319,0,DRIVING,06:15:00
TRUE,1,06:56:00,0,FALSE,0,10013601,UNKNOWN,280172,06:01:00,78000080,2021-06-22T06:10:33,4,0,NONE,1,Z020,PUJO,ALGEMEEN,0,78000080,INTERMEDIATE,06:08:00,2021-06-22T06:10:33,6,False,CXX,0,6,212931,6831069,2,497,20,2021-06-22T06:07:58+02:00,Z02002625,2021-06-22,-,1,9274,0,DRIVING,06:08:00
TRUE,1,06:56:00,0,FALSE,0,10013801,UNKNOWN,280172,06:01:00,78000180,2021-06-22T06:16:51,8,0,NONE,1,Z020,PUJO,ALGEMEEN,0,78000180,INTERMEDIATE,06:15:00,2021-06-22T06:16:51,6,False,CXX,0,6,212931,6831069,2,569,20,2021-06-22T06:07:58+02:00,Z02002625,2021-06-22,-,1,9274,0,DRIVING,06:15:00
TRUE,1,06:56:00,0,FALSE,0,10013301,UNKNOWN,280172,06:01:00,78000140,2021-06-22T06:14:09,6,0,NONE,1,Z020,PUJO,ALGEMEEN,0,78000140,INTERMEDIATE,06:12:00,2021-06-22T06:14:09,6,False,CXX,0,6,212931,6831069,2,444,20,2021-06-22T06:07:58+02:00,Z02002625,2021-06-22,-,1,9274,0,DRIVING,06:12:00
TRUE,1,06:34:00,0,FALSE,0,40004002,UNKNOWN,10410,05:59:00,40004402,2021-06-22T06:15:00,13,0,NONE,1,A001,PUJO,ALGEMEEN,0,40004402,INTERMEDIATE,06:15:00,2021-06-22T06:11:11,3,True,CXX,0,3,193569,6830228,1,524,1,2021-06-22T06:07:59+02:00,A00101114,2021-06-22,C,1,5258,0,DRIVING,06:12:00
TRUE,194049,1,06:14:00,0,FALSE,0,40006790,UNKNOWN,10401,05:56:00,40006790,2021-06-22T06:06:53,10,0,NONE,1,A006,06:06:58,ALGEMEEN,0,40006790,INTERMEDIATE,06:07:00,2021-06-22T06:06:53,1003,PUJO,False,CXX,0,1003,168410,6830242,1,385,6,2021-06-22T06:07:59+02:00,A00600993,2021-06-22,-,1,5261,0,PASSED,06:07:00,444073
TRUE,1,06:27:00,0,FALSE,0,40200080,UNKNOWN,10459,05:51:00,40200080,2021-06-22T06:10:47,23,0,NONE,1,A051,PUJO,ALGEMEEN,0,40200080,INTERMEDIATE,06:09:00,2021-06-22T06:10:47,4,False,CXX,0,4,229587,6830279,2,170,51,2021-06-22T06:07:59+02:00,A05101120,2021-06-22,-,1,5393,0,DRIVING,06:09:00
TRUE,1,06:27:00,0,FALSE,0,40200300,UNKNOWN,10459,05:51:00,40200300,2021-06-22T06:13:29,25,0,NONE,1,A051,PUJO,ALGEMEEN,0,40200300,INTERMEDIATE,06:12:00,2021-06-22T06:13:29,4,False,CXX,0,4,229587,6830279,2,917,51,2021-06-22T06:07:59+02:00,A05101120,2021-06-22,-,1,5393,0,DRIVING,06:12:00
TRUE,1,06:27:00,0,FALSE,0,40400080,UNKNOWN,10459,05:51:00,40400080,2021-06-22T06:25:11,36,0,NONE,1,A051,PUJO,ALGEMEEN,0,40400080,INTERMEDIATE,06:25:00,2021-06-22T06:25:11,4,False,CXX,0,4,229587,6830279,2,687,51,2021-06-22T06:07:59+02:00,A05101120,2021-06-22,-,1,5393,0,DRIVING,06:25:00
TRUE,140878,1,06:15:00,0,FALSE,0,59400930,UNKNOWN,270103,05:38:00,59400930,2021-06-22T06:08:08,21,0,NONE,1,F100,06:07:43,ALGEMEEN,0,59400930,INTERMEDIATE,06:12:00,2021-06-22T06:08:08,1,PUJO,False,CXX,0,1,229748,6830334,1,762,100,2021-06-22T06:07:59+02:00,F10001303,2021-06-22,-,1,4222,0,PASSED,06:12:00,470292
TRUE,181861,1,06:27:00,0,FALSE,0,25130200,UNKNOWN,550521,06:00:00,25130200,2021-06-22T06:06:28,7,0,NONE,1,G141,06:06:28,ALGEMEEN,0,25130200,INTERMEDIATE,06:06:00,2021-06-22T06:06:28,1102,PUJO,False,CXX,0,1102,300906,6830408,2,934,141,2021-06-22T06:07:59+02:00,G14100909,2021-06-22,-,1,9303,0,PASSED,06:06:00,521275
TRUE,1,06:10:00,0,FALSE,0,57240027,UNKNOWN,750005,05:39:00,57240027,2021-06-22T00:00:00,19,0,NONE,1,M186,PUJO,ALGEMEEN,0,57240027,LAST,00:00:00,2021-06-22T06:11:53,4,True,CXX,0,4,264187,6830768,2,444,186,2021-06-22T06:07:59+02:00,M18601266,2021-06-22,-,1,9733,0,DRIVING,06:10:00
TRUE,118887,1,06:26:00,0,FALSE,0,57330020,UNKNOWN,620357,05:16:00,57330020,2021-06-22T06:02:18,17,0,NONE,1,M300,06:02:25,ALGEMEEN,0,57330020,INTERMEDIATE,06:02:00,2021-06-22T06:00:57,7,PUJO,True,CXX,0,7,260029,6830792,1,4794,300,06:01:02,2021-06-22T06:07:59+02:00,M30014341,2021-06-22,D,1,9350,0,PASSED,06:02:00,479343
TRUE,1,06:56:00,0,FALSE,0,56330680,UNKNOWN,620362,05:46:00,56330680,2021-06-22T06:13:35,11,0,NONE,1,M300,PUJO,ALGEMEEN,0,56330680,INTERMEDIATE,06:13:00,2021-06-22T06:13:35,13,False,CXX,0,13,260029,6830792,1,1318,300,2021-06-22T06:07:59+02:00,M300143411,2021-06-22,-,1,9347,0,DRIVING,06:13:00
TRUE,1,07:00:00,0,FALSE,0,57442240,UNKNOWN,640104,06:00:00,57442240,2021-06-22T06:08:59,6,0,NONE,1,M340,PUJO,ALGEMEEN,0,57442240,INTERMEDIATE,06:09:00,2021-06-22T06:08:59,8,False,CXX,0,8,296132,6830795,2,312,340,2021-06-22T06:07:59+02:00,M34001403,2021-06-22,-,1,2081,0,DRIVING,06:09:00
TRUE,1,07:00:00,0,FALSE,0,57442660,UNKNOWN,640104,06:00:00,57442660,2021-06-22T06:09:00,7,0,NONE,1,M340,PUJO,ALGEMEEN,0,57442660,INTERMEDIATE,06:09:00,2021-06-22T06:08:59,8,True,CXX,0,8,296132,6830795,2,248,340,2021-06-22T06:07:59+02:00,M34001403,2021-06-22,-,1,2081,0,DRIVING,06:09:00
TRUE,1,06:38:00,0,FALSE,0,55100190,UNKNOWN,610509,05:55:00,55100190,2021-06-22T06:07:55,14,0,NONE,1,N003,06:07:59,ALGEMEEN,0,55100190,INTERMEDIATE,06:11:00,2021-06-22T06:07:55,504,PUJO,False,CXX,0,504,303180,6830832,2,492,3,2021-06-22T06:07:59+02:00,N00303142,2021-06-22,-,1,2019,0,PASSED,06:11:00
