Version;Implicit;DataOwnerCode;OrganizationalUnitCode;Name;OrganizationalUnitType;Description
1;true;CXX;N071;Beverwijk Station - Uitgeest Station;LINE;
1;true;CXX;N072;Beverwijk Station - Heemskerk Centrum;LINE;
1;true;CXX;N073;Schalkwijk Centrum - Uitgeest Station;LINE;
1;true;CXX;N074;IJmuiden Dennekoplaan - Heemskerk Centrum;LINE;
1;true;CXX;N076;Beverwijk Station - Beverwijk Bazaar;LINE;
1;true;CXX;N078;Wijk aan Zee - Beverwijk Station;LINE;
1;true;CXX;N079;Beverwijk Station - Castricum Soomerwegh;LINE;
1;true;CXX;N080;Zandvoort - Amsterdam Busstation Elandsgracht;LINE;
1;true;CXX;N081;Zandvoort - Haarlem Station;LINE;
1;true;CXX;N286;Amsterdam Centrum - Beverwijk Station;LINE;
1;true;CXX;N290;Amsterdam - Zaandam Station;LINE;
1;true;CXX;N292;Amsterdam Leidseplein - Zaandam Station;LINE;
1;true;CXX;N294;Amsterdam Leidseplein - Zaandam NS;LINE;
1;true;CXX;N382;IJmuiden Seaport - Amsterdam Station Sloterdijk;LINE;
1;true;CXX;N385;Haarlem Station - IJmuiden;LINE;
1;true;CXX;N391;Amsterdam CS - Zaandijk Zaanse Schans;LINE;
1;true;CXX;N392;Amsterdam - Zaandam Station;LINE;
1;true;CXX;N393;Amsterdam CS - Zaandam ZMC;LINE;
1;true;CXX;N394;Amsterdam CS - Zaandam Station;LINE;
1;true;CXX;N395;Amsterdam Station Sloterdijk - Wormerland P+R;LINE;
1;true;CXX;N398;Amsterdam Riekerpolder - Zaandam ZMC;LINE;
1;true;CXX;N414;Krommeniedijk - Oost-Knollendam;LINE;
1;true;CXX;N456;Assendelft - Zaandam Station;LINE;
1;true;CXX;N481;Haarlem Vijver  - Haarlem Delftplein;LINE;
1;true;CXX;N567;Haarlem - Cruquius Paswerk;LINE;
1;true;CXX;N568;Haarlem - Cruquius Paswerk;LINE;
1;true;CXX;N680;Zwanenburg - Heemstede;LINE;
1;true;CXX;V102;Bergen op Zoom - Oude Tonge;LINE;
1;true;CXX;V107;St.Maartensdijk - Bergen op Zoom;LINE;
1;true;CXX;V108;St.Maartensdijk - Bergen op Zoom;LINE;
1;true;CXX;V209;Bergen op Zoom - St.Annaland;LINE;
1;true;CXX;V602;St.Maartensdijk - Middelharnis;LINE;
1;true;CXX;V603;St.Maartensdijk - Bergen op Zoom;LINE;
1;true;CXX;V618;Halsteren - St.Maartensdijk;LINE;
1;true;CXX;V619;St.Annaland - Tholen;LINE;
1;true;CXX;W091;Vervangend vervoer Parkshuttle;LINE;
1;true;CXX;X001;Nijmegen CS - Malden Heidezoom;LINE;
1;true;CXX;X002;St Maartenskliniek - Nijmegen CS - Lindenholt West;LINE;
1;true;CXX;X003;Oosterhout - Nijmegen CS;LINE;
1;true;CXX;X004;Nijmegen Aldenhof - Dukenburg - Lindenholt Oost;LINE;
1;true;CXX;X005;Groesbeek - Nijmegen CS - Beuningen;LINE;
1;true;CXX;X006;Nijmegen Station Dukenburg - CS - Neerbosch Oost;LINE;
1;true;CXX;X007;Nijmegen CS - Afrikamuseum;LINE;
1;true;CXX;X008;Nijmegen Hatert - CS - Berg en Dal;LINE;
1;true;CXX;X009;Nijmegen CS - Grave Busstation;LINE;
1;true;CXX;X010;Nijmegen CS - Heyendaal - CS;LINE;
1;true;CXX;X011;Beuningen - Dukenburg - Nijmegen CS;LINE;
1;true;CXX;X012;Druten - Nijmegen CS;LINE;
1;true;CXX;X013;Lent - CS - Wijchen Noord;LINE;
1;true;CXX;X015;Lent - CS - Wijchen Zuid;LINE;
1;true;CXX;X042;Druten Busstation - Tiel Station;LINE;
1;true;CXX;X058;Kleve Bahnhof - Nijmegen CS - Heyendaal;LINE;
1;true;CXX;X076;Millingen - Groesbeek;LINE;
1;true;CXX;X080;Millingen - Ooij - Nijmegen CS;LINE;
1;true;CXX;X082;Millingen - Nijmegen CS;LINE;
