Version;Implicit;DataOwnerCode;LinePlanningNumber;LinePublicNumber;LineName;LineVeTagNumber;Description;TransportType;LineIcon;LineColor;LineTextColor
1;true;CXX;L322;322;Uden - Gerwen - Eindhoven Station;322;;BUS;;;
1;true;CXX;L324;324;Geldrop Coevering - Eindhoven Station;324;;BUS;;;
1;true;CXX;L400;400;Eindhoven Airport - Eindhoven Station;400;;BUS;;;
1;true;CXX;L401;401;Eindhoven Airport - Eindhoven Station;401;;BUS;;;
1;true;CXX;L402;402;Veldhoven Zonderwijk - Eindhoven Station;402;;BUS;;;
1;true;CXX;L403;403;Oerle Zuid - Eindhoven Station;403;;BUS;;;
1;true;CXX;L404;404;Nuenen - Summa College - Eindhoven Station;404;;BUS;;;
1;true;CXX;L405;405;Eindhoven Achtse Barrier - Station;405;;BUS;;;
1;true;CXX;L406;406;Son - Ekkersrijt - Eindhoven Station;406;;BUS;;;
1;true;CXX;L407;407;High Tech Campus - Eindhoven Station;407;;BUS;;;
1;true;CXX;L408;408;Station NS - HTC - Waalre;408;;BUS;;;
1;true;CXX;L610;610;Eindhoven Internationale school - Station;610;;BUS;;;
1;true;CXX;L618;618;Valkenswaard - Bladel Pius X-College;618;;BUS;;;
1;true;CXX;L656;656;Budel-Maarheeze-Valkenswaard;656;;BUS;;;
1;true;CXX;L657;657;Sterksel-Heeze-Leende-Valkenswaard;657;;BUS;;;
1;true;CXX;M030;N30;IJmuiden Dennekoplaan - Amsterdam Bijlmer ArenA;30;;BUS;;77216F;FFFFFF
1;true;CXX;M047;N47;Uithoorn Busstation - Amsterdam CS via Amstelveen;47;;BUS;;FFCC00;000000
1;true;CXX;M057;N57;Aalsmeer - Amsterdam CS IJzijde via Amstelveen;57;;BUS;;FFCC00;000000
1;true;CXX;M090;N90;Knooppunt Noord - P30/Knooppunt ZW via Airport;90;;BUS;;0059FF;FFFFFF
1;true;CXX;M095;N95;Amsterdam Langsom - Schiphol via Badhoevedorp;95;;BUS;;0059FF;FFFFFF
1;true;CXX;M097;N97;Nieuw Vennep - Amsterdam CS IJzijde via Airport;97;;BUS;;FFCC00;000000
1;true;CXX;M149;FLEX;AML-FLEX: Uithoorn - Amstelveen;149;;BUS;;;
1;true;CXX;M160;160;Hoofddorp Station - Hoofddorp Centrum;160;;BUS;;AFB4B9;000000
1;true;CXX;M161;161;Zwanenburg - Hoofddorp Station;161;;BUS;;AFB4B9;000000
1;true;CXX;M162;162;Lisse - Hoofddorp Station;162;;BUS;;AFB4B9;000000
1;true;CXX;M163;FLEX;AML-FLEX: Rijsenhout - Schiphol Rijk;163;;BUS;;;
1;true;CXX;M164;FLEX;AML-FLEX: Buitenkaag - Nieuw Vennep;164;;BUS;;;
1;true;CXX;M169;169;Hoofddorp Sportcomplex KWA - Hoofddorp Station;169;;BUS;;AFB4B9;000000
1;true;CXX;M171;171;Aalsmeer - Amsterdam Bijlmer ArenA;171;;BUS;;AFB4B9;000000
1;true;CXX;M174;174;Uithoorn - Amstelveen KLM Hoofdkantoor;174;;BUS;;AFB4B9;000000
1;true;CXX;M180;180;Cirkellijn Schiphol [P30 - P30 via Oost & Rijk];180;;BUS;;0059FF;FFFFFF
1;true;CXX;M181;181;Cirkellijn Schiphol [Noord - Noord via Rijk&Oost];181;;BUS;;0059FF;FFFFFF
1;true;CXX;M185;185;Schiphol Airport - Justitieel Complex;185;;BUS;;0059FF;FFFFFF
1;true;CXX;M186;186;Schiphol P30 - Amstelveen Busstation via KLM;186;;BUS;;0059FF;FFFFFF
1;true;CXX;M190;190;Schiphol Knooppunt Noord - P30 via Airport;190;;BUS;;0059FF;FFFFFF
1;true;CXX;M191;191;Schiphol Zuidoost - Schiphol;191;;BUS;;0059FF;FFFFFF
1;true;CXX;M192;192;Hoofddorp - Schiphol Knooppunt Noord;192;;BUS;;0059FF;FFFFFF
1;true;CXX;M194;194;Schiphol P30 - Nieuw West via Badhoevedorp;194;;BUS;;0059FF;FFFFFF
1;true;CXX;M195;195;Schiphol P30 - A'dam Lelylaan via Badhoevedorp;195;;BUS;;0059FF;FFFFFF
1;true;CXX;M198;198;Schiphol Beechavenue - Aalsmeer;198;;BUS;;0059FF;FFFFFF
1;true;CXX;M199;199;Schiphol  P30 - Amstelveen Praam;199;;BUS;;0059FF;FFFFFF
1;true;CXX;M200;200;A'dam Gaasperplas - Schiphol Airport;300;;BUS;;77216F;FFFFFF
1;true;CXX;M242;242;Mijdrecht - Amsterdam Station Zuid via Amstelveen;142;;BUS;;AFB4B9;000000
1;true;CXX;M244;244;Haarlem Delftplein - Amsterdam Station Zuid;244;;BUS;;AFB4B9;000000
1;true;CXX;M255;255;Haarlem Station - Amsterdam Bijlmer ArenA;255;;BUS;;AFB4B9;000000
1;true;CXX;M271;271;Amsterdam Gaasperplas - Aalsmeer Floraholland;71;;BUS;;AFB4B9;000000
1;true;CXX;M274;274;Uithoorn - Amsterdam Station Zuid via Amstelveen;300;;BUS;;AFB4B9;000000
1;true;CXX;M287;287;Schiphol Airport - Douglassingel via Beechavenue;287;;BUS;;0059FF;FFFFFF
1;true;CXX;M300;300;Haarlem Station - A'dam Bijlmer ArenA via Airport;300;;BUS;;77216F;FFFFFF
1;true;CXX;M340;340;Haarlem Station - Uithoorn via Hoofddorp Station;340;;BUS;;FF0000;FFFFFF
1;true;CXX;M341;341;Spaarne Gasthuis - WTC/Zuid via Hoofddorp Station;341;;BUS;;D1EA32;000000
1;true;CXX;M342;342;Uithoorn - Schiphol Knooppunt Noord via Airport;342;;BUS;;FF0000;FFFFFF
1;true;CXX;M346;346;Haarlem Station - Amsterdam Station Zuid;346;;BUS;;D1EA32;000000
1;true;CXX;M347;347;Uithoorn - Amsterdam Elandsgracht via Amstelveen;347;;BUS;;FFCC00;000000
1;true;CXX;M348;348;Uithoorn - Amsterdam Station Zuid via Amstelveen;348;;BUS;;D1EA32;000000
1;true;CXX;M356;356;Haarlem Station - A'dam Bijlmer ArenA via KP Noord;356;;BUS;;77216F;FFFFFF
1;true;CXX;M357;357;Aalsmeer - Amsterdam Elandsgracht via Amstelveen;357;;BUS;;FFCC00;000000
1;true;CXX;M358;358;Kudelstaart/Aalsmeer - A'dam Station Zuid via ASV;358;;BUS;;D1EA32;000000
1;true;CXX;M397;397;Nieuw Vennep - Amsterdam Elandsgracht via Airport;397;;BUS;;FFCC00;000000
1;true;CXX;M401;401;Bennebroek - Hoofddorp Station via Spaarnegasthuis;401;;BUS;;AFB4B9;000000
1;true;CXX;M612;612;Abcoude - Amsterdam;212;;BUS;;AFB4B9;000000
1;true;CXX;M640;640;Hoofddorp Station - Hoofddorp Kaj Munkweg;640;;BUS;;AFB4B9;000000
1;true;CXX;M663;663;Rijsenhout - Hoofddorp Station;663;;BUS;;AFB4B9;000000
1;true;CXX;M949;149;Uithoorn - Amstelveen;149;;BUS;;AFB4B9;000000
1;true;CXX;M963;163;Rijsenhout - Hoofddorp Station;163;;BUS;;AFB4B9;000000
1;true;CXX;M964;164;Buitenkaag - Nieuw Vennep;164;;BUS;;AFB4B9;000000
1;true;CXX;N002;2;Spaarnwoude Station - Haarlem Delftplein;2;;BUS;;00CCFF;000000
1;true;CXX;N003;3;Schalkwijk Centrum - IJmuiden;3;;BUS;;FF99FF;FFFFFF
1;true;CXX;N004;4;Schalkwijk Centrum - Station Heemstede-Aerdenhout;4;;BUS;;66CC33;000000
1;true;CXX;N007;7;Haarlem Stat. - Spaarne College - Haarlem Stat.;7;;BUS;;FFCC00;000000
1;true;CXX;N008;8;Haarlem Station - Hogeschool INHOLLAND;8;;BUS;;FFCC00;000000
1;true;CXX;N009;9;Vogelenzang Dorp - Station Heemstede-Aerdenhout;9;;BUS;;FFFF00;000000
1;true;CXX;N014;14;Hillegom Station - Haarlemmerl. Pont Buitenhuizen;14;;BUS;;0000FF;FFFFFF
1;true;CXX;N015;15;Haarlem Station - Waarderpolder - Spaarnwoude St.;15;;BUS;;FFFF00;000000
1;true;CXX;N059;59;Beverwijk Station - Zaandam Station;59;;BUS;;;
1;true;CXX;N063;63;Zaandam Station - Assendelft - Krommenie Station;63;;BUS;;;
1;true;CXX;N064;64;Zaandijk Rooswijk - Zaandam Kogerveld;64;;BUS;;;
1;true;CXX;N065;65;Zaandam De Vlinder - Krommenie-Assendelft Station;65;;BUS;;;
1;true;CXX;N067;67;Wormer - Zaandam Station - Westzaan - Assendelft;67;;BUS;;;
1;true;CXX;N069;69;Krommenie - Zaandam Station - Kalf;69;;BUS;;;
1;true;CXX;N071;71;Beverwijk Station - Uitgeest Station;71;;BUS;;00CCFF;000000
1;true;CXX;N072;72;Beverwijk Station - Heemskerk Centrum;72;;BUS;;FF99FF;FFFFFF
1;true;CXX;N073;73;Schalkwijk Centrum - Uitgeest Station;73;;BUS;;CC99FF;FFFFFF
1;true;CXX;N074;74;IJmuiden Dennekoplaan - Heemskerk Centrum;74;;BUS;;FFFF00;000000
1;true;CXX;N076;76;Beverwijk Station - Beverwijk Bazaar;76;;BUS;;FFCC00;000000
1;true;CXX;N078;78;Wijk aan Zee - Beverwijk Station;78;;BUS;;0000FF;FFFFFF
1;true;CXX;N079;79;Beverwijk Station - Castricum Soomerwegh;79;;BUS;;66CC33;000000
