Version;Implicit;DataOwnerCode;DestCode;DestNameFull;DestNameMain;DestNameDetail;RelevantDestNameDetail;DestNameMain21;DestNameDetail21;DestNameMain19;DestNameDetail19;DestNameMain16;DestNameDetail16;DestIcon;DestColor
1;true;CXX;L01042084;Eindhoven Mispelhoefstr/De Schakel;Eindhoven;Mispelhoefstr/De;false;Eindhoven;Mispelhoefstr/De;Eindhoven;Mispelhoefstr/De;Eindhoven;Mispelhoefstr/De;;
1;true;CXX;L01115928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L01115931;Eindhoven Castilielaan;Eindhoven;Castilielaan;false;Eindhoven;Castilielaan;Eindhoven;Castilielaan;Eindhoven;Castilielaan;;
1;true;CXX;L01115936;Eindhoven Eckartdal;Eindhoven;Eckartdal;false;Eindhoven;Eckartdal;Eindhoven;Eckartdal;Eindhoven;Eckartdal;;
1;true;CXX;L01116143;Nuenen Oost ;Nuenen Oost;;false;Nuenen Oost;;Nuenen Oost;;Nuenen Oost;;;
1;true;CXX;L01116163;Son en Breugel;Son en;Breugel;false;Son en;Breugel;Son en;Breugel;Son en;Breugel;;
1;true;CXX;L01116176;Son Amerikalaan;Son;Amerikalaan;false;Son;Amerikalaan;Son;Amerikalaan;Son;Amerikalaan;;
1;true;CXX;L01116178;Ekkersrijt ;Ekkersrijt;;false;Ekkersrijt;;Ekkersrijt;;Ekkersrijt;;;
1;true;CXX;L011162402;Weert Station via Maarheeze;Weert Station;via Maarheeze;true;Weert Station;via Maarheeze;Weert Station;via Maarheeze;Weert Station;via Maarheeze;;
1;true;CXX;L01116240;Weert Station ;Weert Station;;false;Weert Station;;Weert Station;;Weert Station;;;
1;true;CXX;L01116631;Ekkersrijt ;Ekkersrijt;;false;Ekkersrijt;;Ekkersrijt;;Ekkersrijt;;;
1;true;CXX;L01118602;Budel Nieuwstraat;Budel;Nieuwstraat;false;Budel;Nieuwstraat;Budel;Nieuwstraat;Budel;Nieuwstraat;;
1;true;CXX;L011186032;Budel-Dorplein via Maarheeze;Budel-Dorplein;via Maarheeze;true;Budel-Dorplein;via Maarheeze;Budel-Dorplein;via Maarheeze;Budel-Dorplein;via Maarheeze;;
1;true;CXX;L01118603;Budel-Dorplein ;Budel-Dorplein;;false;Budel-Dorplein;;Budel-Dorplein;;Budel-Dorplein;;;
1;true;CXX;L01118606;Leende ;Leende;;false;Leende;;Leende;;Leende;;;
1;true;CXX;L01118623;Budel Deken van Baarsstraat;Budel;Deken van Baarss;false;Budel;Deken van Baarss;Budel;Deken van Baarss;Budel;Deken van Baarss;;
1;true;CXX;L01120162;Maarheeze ;Maarheeze;;false;Maarheeze;;Maarheeze;;Maarheeze;;;
1;true;CXX;L01142105;Soerendonk Molenheide;Soerendonk;Molenheide;false;Soerendonk;Molenheide;Soerendonk;Molenheide;Soerendonk;Molenheide;;
1;true;CXX;L01144065;Soerendonk Molenheide;Soerendonk;Molenheide;false;Soerendonk;Molenheide;Soerendonk;Molenheide;Soerendonk;Molenheide;;
1;true;CXX;L01215928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L01215969;Gijzenrooi ;Gijzenrooi;;false;Gijzenrooi;;Gijzenrooi;;Gijzenrooi;;;
1;true;CXX;L01415928;Eindhoven Station;Eindhoven;Station;false;Eindhoven;Station;Eindhoven;Station;Eindhoven;Station;;
1;true;CXX;L01415930;Croy ;Croy;;false;Croy;;Croy;;Croy;;;
1;true;CXX;L01415942;Genderbeemd ;Genderbeemd;;false;Genderbeemd;;Genderbeemd;;Genderbeemd;;;
1;true;CXX;L01415953;Eindhoven Jozef Eliasweg;Eindhoven;Jozef Eliasweg;false;Eindhoven;Jozef Eliasweg;Eindhoven;Jozef Eliasweg;Eindhoven;Jozef Eliasweg;;
1;true;CXX;L01416205;Veldhoven Centrum;Veldhoven;Centrum;false;Veldhoven;Centrum;Veldhoven;Centrum;Veldhoven;Centrum;;
